,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,highway-L/100km,price_binned,diesel,gas,std,turbo
0,3,0.29842931937172773,alfa-romero,two,convertible,rwd,front,0.05830903790087462,0.4134328358208958,0.32478632478632447,0.08333333333333333,0.41117145073700545,dohc,four,0.26037735849056604,mpfi,0.6642857142857145,0.2904761904761906,0.125,0.29439252336448596,0.3469387755102041,21,27,13495,0.48148148148148145,0.42105263157894735,Low,0,1,1,0
1,3,0.29842931937172773,alfa-romero,two,convertible,rwd,front,0.05830903790087462,0.4134328358208958,0.32478632478632447,0.08333333333333333,0.41117145073700545,dohc,four,0.26037735849056604,mpfi,0.6642857142857145,0.2904761904761906,0.125,0.29439252336448596,0.3469387755102041,21,27,16500,0.48148148148148145,0.42105263157894735,Low,0,1,1,0
2,1,0.29842931937172773,alfa-romero,two,hatchback,rwd,front,0.2303206997084549,0.4492537313432835,0.4444444444444446,0.38333333333333347,0.5178432893716058,ohcv,six,0.3433962264150943,mpfi,0.10000000000000009,0.6666666666666669,0.125,0.4953271028037383,0.3469387755102041,19,26,16500,0.5701754385964912,0.45344129554655865,Low,0,1,1,0
3,2,0.518324607329843,audi,four,sedan,fwd,front,0.38483965014577254,0.5298507462686567,0.5042735042735046,0.5416666666666666,0.32932505818463925,ohc,four,0.1811320754716981,mpfi,0.46428571428571425,0.6333333333333333,0.1875,0.2523364485981308,0.5510204081632653,24,30,13950,0.3761574074074074,0.33684210526315783,Low,0,1,1,0
4,2,0.518324607329843,audi,four,sedan,4wd,front,0.3731778425655979,0.5298507462686567,0.521367521367522,0.5416666666666666,0.5182311869666408,ohc,five,0.2830188679245283,mpfi,0.46428571428571425,0.6333333333333333,0.0625,0.3130841121495327,0.5510204081632653,18,22,17450,0.6219135802469136,0.6124401913875598,Low,0,1,1,0
5,2,0.29842931937172773,audi,two,sedan,fwd,front,0.38483965014577254,0.5402985074626868,0.5128205128205127,0.44166666666666704,0.39526764934057407,ohc,five,0.2830188679245283,mpfi,0.46428571428571425,0.6333333333333333,0.09375,0.2897196261682243,0.5510204081632653,19,25,15250,0.5701754385964912,0.4884210526315789,Low,0,1,1,0
6,1,0.4869109947643979,audi,four,sedan,fwd,front,0.5597667638483964,0.7701492537313432,0.9487179487179492,0.6583333333333338,0.525989138867339,ohc,five,0.2830188679245283,mpfi,0.46428571428571425,0.6333333333333333,0.09375,0.2897196261682243,0.5510204081632653,19,25,17710,0.5701754385964912,0.4884210526315789,Low,0,1,1,0
7,1,0.29842931937172773,audi,four,wagon,fwd,front,0.5597667638483964,0.7701492537313432,0.9487179487179492,0.6583333333333338,0.5686578743211792,ohc,five,0.2830188679245283,mpfi,0.46428571428571425,0.6333333333333333,0.09375,0.2897196261682243,0.5510204081632653,19,25,18920,0.5701754385964912,0.4884210526315789,Medium,0,1,1,0
8,1,0.4869109947643979,audi,four,sedan,fwd,front,0.5597667638483964,0.7701492537313432,0.9487179487179492,0.6750000000000002,0.6198603568657874,ohc,five,0.2641509433962264,mpfi,0.4214285714285714,0.6333333333333333,0.08125000000000004,0.42990654205607476,0.5510204081632653,17,20,23875,0.6797385620915033,0.7157894736842104,Medium,0,1,0,1
9,2,0.6649214659685864,bmw,two,sedan,rwd,front,0.42565597667638494,0.5328358208955226,0.3846153846153845,0.5416666666666666,0.3518231186966641,ohc,four,0.17735849056603772,mpfi,0.6857142857142857,0.3476190476190476,0.11250000000000004,0.24766355140186916,0.673469387755102,23,29,16430,0.4082125603864734,0.3629764065335753,Low,0,1,1,0
10,0,0.6649214659685864,bmw,four,sedan,rwd,front,0.42565597667638494,0.5328358208955226,0.3846153846153845,0.5416666666666666,0.3518231186966641,ohc,four,0.17735849056603772,mpfi,0.6857142857142857,0.3476190476190476,0.11250000000000004,0.24766355140186916,0.673469387755102,23,29,16925,0.4082125603864734,0.3629764065335753,Low,0,1,1,0
11,0,0.643979057591623,bmw,two,sedan,rwd,front,0.42565597667638494,0.5328358208955226,0.3846153846153845,0.5416666666666666,0.474010861132661,ohc,six,0.3886792452830189,mpfi,0.55,0.5333333333333333,0.125,0.3411214953271028,0.04081632653061224,21,28,20970,0.48148148148148145,0.3909774436090225,Medium,0,1,1,0
12,0,0.643979057591623,bmw,four,sedan,rwd,front,0.42565597667638494,0.5328358208955226,0.3846153846153845,0.5416666666666666,0.49534522885958104,ohc,six,0.3886792452830189,mpfi,0.55,0.5333333333333333,0.125,0.3411214953271028,0.04081632653061224,21,28,21105,0.48148148148148145,0.3909774436090225,Medium,0,1,1,0
13,1,0.29842931937172773,bmw,four,sedan,rwd,front,0.49271137026239065,0.7149253731343285,0.5641025641025647,0.6583333333333338,0.6078355314197051,ohc,six,0.3886792452830189,mpfi,0.55,0.5333333333333333,0.125,0.3411214953271028,0.04081632653061224,20,25,24565,0.5236111111111111,0.4884210526315789,Medium,0,1,1,0
14,0,0.29842931937172773,bmw,four,sedan,rwd,front,0.49271137026239065,0.7149253731343285,0.5641025641025647,0.6583333333333338,0.6757176105508146,ohc,six,0.5584905660377358,mpfi,0.7714285714285716,0.6285714285714287,0.0625,0.6261682242990654,0.5102040816326531,16,22,30760,0.7447916666666666,0.6124401913875598,Medium,0,1,1,0
15,0,0.29842931937172773,bmw,two,sedan,rwd,front,0.49271137026239065,0.7865671641791048,0.6495726495726502,0.49166666666666714,0.7339022498060512,ohc,six,0.5584905660377358,mpfi,0.7714285714285716,0.6285714285714287,0.0625,0.6261682242990654,0.5102040816326531,16,22,41315,0.7447916666666666,0.6124401913875598,High,0,1,1,0
16,0,0.29842931937172773,bmw,four,sedan,rwd,front,0.6822157434402332,0.8343283582089553,0.9059829059829065,0.7083333333333334,0.7823894491854151,ohc,six,0.5584905660377358,mpfi,0.7714285714285716,0.6285714285714287,0.0625,0.6261682242990654,0.5102040816326531,15,20,36880,0.8185185185185185,0.7157894736842104,High,0,1,1,0
17,2,0.2931937172774869,chevrolet,two,hatchback,fwd,front,0.052478134110787486,0.0,0.0,0.45000000000000046,0.0,l,three,0.0,2bbl,0.2642857142857144,0.45714285714285713,0.15625,0.0,0.3877551020408163,47,53,5151,0.015366430260047265,0.007944389275074425,Low,0,1,1,0
18,1,0.17277486910994763,chevrolet,two,hatchback,fwd,front,0.2303206997084549,0.22089552238805987,0.2820512820512823,0.35000000000000026,0.14972847168347556,ohc,four,0.10943396226415095,2bbl,0.34999999999999987,0.49523809523809526,0.16249999999999998,0.102803738317757,0.5102040816326531,38,43,6295,0.10453216374269005,0.10771113831089348,Low,0,1,1,0
19,0,0.08376963350785341,chevrolet,four,sedan,fwd,front,0.2303206997084549,0.26417910447761217,0.2820512820512823,0.35000000000000026,0.16330488750969743,ohc,four,0.10943396226415095,2bbl,0.34999999999999987,0.49523809523809526,0.16249999999999998,0.102803738317757,0.5102040816326531,38,43,6575,0.10453216374269005,0.10771113831089348,Low,0,1,1,0
20,1,0.2774869109947644,dodge,two,hatchback,fwd,front,0.20699708454810514,0.24179104477611965,0.2991452991452991,0.25,0.15050426687354537,ohc,four,0.10943396226415095,2bbl,0.3071428571428573,0.5523809523809524,0.150625,0.09345794392523364,0.5510204081632653,37,41,5572,0.11711711711711714,0.13350449293966618,Low,0,1,1,0
21,1,0.2774869109947644,dodge,two,hatchback,fwd,front,0.20699708454810514,0.24179104477611965,0.2991452991452991,0.25,0.15050426687354537,ohc,four,0.10943396226415095,2bbl,0.3071428571428573,0.5523809523809524,0.15000000000000002,0.09345794392523364,0.5510204081632653,31,38,6377,0.20967741935483872,0.17728531855955673,Low,0,1,1,0
22,1,0.2774869109947644,dodge,two,hatchback,fwd,front,0.20699708454810514,0.24179104477611965,0.2991452991452991,0.25,0.2482544608223429,ohc,four,0.13962264150943396,mpfi,0.34999999999999987,0.6285714285714287,0.03749999999999998,0.2523364485981308,0.5510204081632653,24,30,7957,0.3761574074074074,0.33684210526315783,Low,0,1,0,1
23,1,0.43455497382198954,dodge,four,hatchback,fwd,front,0.20699708454810514,0.24179104477611965,0.2991452991452991,0.2333333333333337,0.18580294802172226,ohc,four,0.10943396226415095,2bbl,0.3071428571428573,0.5523809523809524,0.15000000000000002,0.09345794392523364,0.5510204081632653,31,38,6229,0.20967741935483872,0.17728531855955673,Low,0,1,1,0
24,1,0.43455497382198954,dodge,four,sedan,fwd,front,0.20699708454810514,0.24179104477611965,0.2991452991452991,0.2333333333333337,0.1943366951124903,ohc,four,0.10943396226415095,2bbl,0.3071428571428573,0.5523809523809524,0.15000000000000002,0.09345794392523364,0.5510204081632653,31,38,6692,0.20967741935483872,0.17728531855955673,Low,0,1,1,0
25,1,0.43455497382198954,dodge,four,sedan,fwd,front,0.20699708454810514,0.24179104477611965,0.2991452991452991,0.2333333333333337,0.1943366951124903,ohc,four,0.10943396226415095,2bbl,0.3071428571428573,0.5523809523809524,0.15000000000000002,0.09345794392523364,0.5510204081632653,31,38,7609,0.20967741935483872,0.17728531855955673,Low,0,1,1,0
26,1,0.43455497382198954,dodge,four,sedan,fwd,front,0.20699708454810514,0.24179104477611965,0.2991452991452991,0.2333333333333337,0.2726920093095423,ohc,four,0.13962264150943396,mpfi,0.34999999999999987,0.6285714285714287,0.03749999999999998,0.2523364485981308,0.5510204081632653,24,30,8558,0.3761574074074074,0.33684210526315783,Low,0,1,0,1
27,-1,0.2356020942408377,dodge,four,wagon,fwd,front,0.48688046647230315,0.5,0.3675213675213672,1.0,0.4061287820015516,ohc,four,0.23018867924528302,2bbl,0.5714285714285713,0.6619047619047619,0.09375,0.18691588785046728,0.3469387755102041,24,30,8921,0.3761574074074074,0.33684210526315783,Low,0,1,1,0
28,3,0.418848167539267,dodge,two,hatchback,fwd,front,0.2711370262390673,0.4791044776119402,0.5128205128205127,0.20000000000000048,0.5131885182311869,ohc,four,0.3584905660377358,mfi,0.7571428571428572,0.8714285714285714,0.0,0.4532710280373832,0.3469387755102041,19,24,12964,0.5701754385964912,0.5263157894736841,Low,0,1,0,1
29,2,0.3769633507853403,honda,two,hatchback,fwd,front,0.0,0.05223880597014925,0.30769230769230776,0.25,0.08727695888285493,ohc,four,0.1169811320754717,1bbl,0.2642857142857144,0.6380952380952382,0.16249999999999998,0.04672897196261682,0.2653061224489796,49,54,6479,0.0,0.0,Low,0,1,1,0
30,2,0.3769633507853403,honda,two,hatchback,fwd,front,0.0,0.05223880597014925,0.30769230769230776,0.25,0.12839410395655548,ohc,four,0.1169811320754717,1bbl,0.2642857142857144,0.6380952380952382,0.13749999999999996,0.1308411214953271,0.7551020408163265,31,38,6855,0.20967741935483872,0.17728531855955673,Low,0,1,1,0
31,1,0.18848167539267016,honda,two,hatchback,fwd,front,0.20699708454810514,0.13283582089552248,0.3162393162393164,0.40000000000000036,0.13537626066718386,ohc,four,0.06792452830188679,1bbl,0.2642857142857144,0.47619047619047616,0.19374999999999998,0.056074766355140186,0.5510204081632653,38,42,5399,0.10453216374269005,0.12030075187969919,Low,0,1,1,0
32,1,0.18848167539267016,honda,two,hatchback,fwd,front,0.20699708454810514,0.13283582089552248,0.3162393162393164,0.40000000000000036,0.17532971295577968,ohc,four,0.1169811320754717,1bbl,0.2642857142857144,0.6380952380952382,0.13749999999999996,0.1308411214953271,0.7551020408163265,30,34,6529,0.2287037037037037,0.2476780185758514,Low,0,1,1,0
33,1,0.18848167539267016,honda,two,hatchback,fwd,front,0.20699708454810514,0.13283582089552248,0.3162393162393164,0.40000000000000036,0.18153607447633824,ohc,four,0.1169811320754717,1bbl,0.2642857142857144,0.6380952380952382,0.13749999999999996,0.1308411214953271,0.7551020408163265,30,34,7129,0.2287037037037037,0.2476780185758514,Low,0,1,1,0
34,0,0.2356020942408377,honda,four,sedan,fwd,front,0.28862973760932953,0.33283582089552255,0.3162393162393164,0.5583333333333336,0.20248254460822343,ohc,four,0.1169811320754717,1bbl,0.2642857142857144,0.6380952380952382,0.13749999999999996,0.1308411214953271,0.7551020408163265,30,34,7295,0.2287037037037037,0.2476780185758514,Low,0,1,1,0
35,0,0.06806282722513089,honda,four,wagon,fwd,front,0.28862973760932953,0.23880597014925373,0.30769230769230776,0.875,0.20791311093871218,ohc,four,0.1169811320754717,1bbl,0.27142857142857135,0.6380952380952382,0.13749999999999996,0.1308411214953271,0.7551020408163265,30,34,7295,0.2287037037037037,0.2476780185758514,Low,0,1,1,0
